id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path
657018,A Beautiful Place to Die: A Martha's Vineyard Mystery,7.4,45.0,Released,2020-01-12,0.0,85.0,0.0,tt10768536,en,A Beautiful Place to Die: A Martha's Vineyard Mystery,"After being forced into early retirement, former detective Jeff Jackson returns to a quiet life on Martha's Vineyard. Quiet, at least, until a body washes up and he's drawn back into crime solving.",1.9866,,"Mystery, Drama, TV Movie","Muse Entertainment, Hallmark Media","Canada, United States of America",English,"Chelsea Hobbs, Michael Ryan, Brenda Crichlow, Kendall Cross, Sunita Prasad, Bradley Stryker, Houston Stevenson, Teisha Rae Robinson, Eric Keenleyside, Jesse Metcalfe, Jaycie Dotin, Andrew Moxham, Keenan Tracey, Chris Wood, Yolanda Corbett, Barry W. Levy, Caleb Marshall, Christine Willes, Jess Brown, Denis Corbett, Mark Brandon, Sarah Lind, Janet Kidder, Naika Toussaint",Mark Jean,William McKnight,"Teena Booth, Kraig Wenman, Philip R. Craig","Charles Cooper, Jesse Metcalfe, Michael Prupas, Joel S. Rice",Matthew Rogers,6.7,1723.0,/3FGGJh5S9G29YGIRYqe3zca40yL.jpg
77223,Paradise Road,6.4,91.0,Released,1997-02-11,2007100.0,122.0,16000000.0,tt0119859,en,Paradise Road,"A group of English, American, Dutch and Australian women creates a vocal orchestra while being imprisoned in a Japanese POW camp on Sumatra during World War II.",1.4514,Courage echoes forever.,"War, Drama, History","Samson Productions, Fox Searchlight Pictures, Village Roadshow, Australian Film Commission, Pacific Film and Television Commission","Australia, United States of America","日本語, English, Nederlands, Bahasa melayu","Jennifer Ehle, Alwine Seinen, Frances McDormand, Susie Porter, Cate Blanchett, Nicholas Hammond, Elizabeth Spriggs, Wendy Hughes, Julianna Margulies, Aden Young, Lia Scallon, Penne Hackforth-Jones, Robert Grubb, Vincent Ball, Pamela Rabe, Clyde Kusatsu, Arthur Dignam, Glenn Close, Lisa Hensley, Mitsu Sato, Pauline Collins, Noel Ferrier, Yoshi Adachi, Tanya Bird, Johanna ter Steege, Steven Grives, Pauline Chan, Anita Hegh, Marijke Mann, Paul Bishop, John Proper, David Chung, Stan Egi, Stephen O'Rourke, Kitty Clignett, Sab Shimono, Marta Dusseldorp, Tessa Humphries, Shira van Essen, Taka Nagano",Bruce Beresford,Peter James,"Alfred Uhry, Bruce Beresford",,Ross Edwards,6.8,6284.0,/mEA7Iv1e6HqpSGMfVUdUfYOusNU.jpg
8223,Kika,6.4,316.0,Released,1993-10-29,2019069.0,117.0,0.0,tt0107315,es,Kika,"When American author Nicholas brings in a cosmetologist named Kika to prepare the corpse of his recently deceased son, she inadvertently revives the young man, then falls in love with him. Forces conspire against the couple, though, as Nicholas wants Kika for himself.",1.7512,"A memorable, surreal and bizarre comedy in the best Almódovar style!","Comedy, Drama","El Deseo, CiBy 2000","Spain, France",Español,"Santiago Lajusticia, Claudia Aros, Victoria Abril, Rossy de Palma, Peter Coyote, Blanca Li, Manuel Bandera, Charo López, Verónica Forqué, Francisca Caballero, Mónica Bardem, Joaquín Climent, Anabel Alonso, Bibiana Fernández, Karra Elejalde, Agustín Almodóvar, Àlex Casanovas, Jesús Bonilla",Pedro Almodóvar,Alfredo Mayo,Pedro Almodóvar,Agustín Almodóvar,,6.5,15988.0,/jUEBKaMqcvrz0HHF8Cei8asjRWr.jpg
489533,Happiness,7.123,122.0,Released,2017-06-12,0.0,5.0,0.0,tt7704920,en,Happiness,The story of a rodent's unrelenting quest for happiness and fulfillment.,0.3811,,"Animation, Drama",,United Kingdom,No Language,,Steve Cutts,,,,,7.7,2483.0,/y3Xv1IEZd46sMQSDRnXyBMwPqsB.jpg
597088,And Then We Danced,7.2,250.0,Released,2019-09-13,416167.0,113.0,0.0,tt8963708,ka,და ჩვენ ვიცეკვეთ,"Merab, a devoted dancer, has been training for years with his partner Mary for a spot in the National Georgian Ensemble. The arrival of another male dancer, Irakli, sparks both an intense rivalry and romantic desire that may cause Merab to risk his future in dance as well as his relationships.",1.541,,"Drama, Romance","French Quarter Film AB, Takes Film, AMA Productions, RMV Film, Inland Film, SVT, Svenska Filminstitutet, L'Aide aux Cinémas du Monde, La Région Île-de-France, The Swedish Arts Grants Committee","France, Georgia, Sweden",ქართული,"Marika Gogichaishvili, Ana Makharadze, Ana Javakishvili, Saba Abashidze, Levan Gabrava, Giorgi Tsereteli, Tamar Bukhnikashvili, Aleko Begalishvili, Tamar Skhirtladze, Mate Khidasheli, Soso Abramashvili, Nino Gabisonia, Bachi Valishvili, Levan Gelbakhiani, Kakha Gogidze",Levan Akin,Lisabi Fridell,Levan Akin,"Ketie Danelia, Mattias Sandström, Ludvig Andersson, Mathilde Dedye",,7.6,15610.0,/zP8Gg0wLJuqXGlrrD3mEu0M4kMa.jpg
9898,The Killing Floor,5.3,43.0,Released,2007-05-10,0.0,94.0,0.0,tt0756672,en,The Killing Floor,"A literary agent moves into a penthouse apartment. Soon after the move, he receives crime scene photographs that seem to have taken place in his new apartment. Next he receives a series of stalker videotapes that document his every move.",1.1967,,"Crime, Thriller, Horror",,United States of America,English,"Marc Blucas, Reiko Aylesworth, Lou D'Amato, Bethany Butler, Tina Benko, Rick Borgia, Shiri Appleby, Joel Leffert, Andrew Weems, Paul Urcioli, Jason Bushman, Joe Pontillo, Bria Roberts, John Di Benedetto, Roberta Maxwell, John Bedford Lloyd, Jeffrey Carlson, Derek Cecil, Allison McAtee",Gideon Raff,Martina Radwan,"Gideon Raff, Ryan Swanson","Doug Liman, Gideon Raff, Eden Wurmfeld, Avi Arad, Ryan Swanson",Michael Wandmacher,5.5,3406.0,/mq7X4O63QKoL69gR80eyrPvSsop.jpg
1216103,Out Come the Wolves,5.5,54.0,Released,2024-08-30,0.0,87.0,0.0,tt4853290,en,Out Come the Wolves,"At a cabin deep in the wilderness, a weekend of hunting turns to mayhem and a fight for survival when a pack of wolves attack a man, his female best friend and her fiance.",1.0648,Now we are prey.,"Thriller, Action, Horror","December Films, High Park Entertainment",Canada,English,"Joris Jarsky, Damon Runyan, Missy Peregrym",Adam MacDonald,Christian Bielz,"Adam MacDonald, Joris Jarsky, Enuka Okuma","Enuka Okuma, Eric Birnberg, Thomas Vencelides, Joris Jarsky, Thomas Walden, Todd Berger",,4.7,2063.0,/kDijoX2DQlymtUL44lCxJ1JLsGL.jpg
24556,The Land Before Time XI: Invasion of the Tinysauruses,6.3,195.0,Released,2005-01-11,0.0,82.0,0.0,tt0424228,en,The Land Before Time XI: Invasion of the Tinysauruses,"Littlefoot and his friends return in another adventure. But this time, they aren't the smallest dinosaurs in the valley anymore.",0.6276,,"Animation, Family, Fantasy, Adventure","Universal Animation Studios, Universal Cartoon Studios",United States of America,English,"Kenneth Mars, Miriam Flynn, Michael Clarke Duncan, Aria Noelle Curzon, Cree Summer, Leigh Kelly, Tress MacNeille, Jeff Bennett, Aaron Spann, John Ingle, Nika Futterman, Anndi McAfee, Camryn Manheim, Rob Paulsen, Frank Welker, Ashley Rose Orr",Charles Grosvenor,,"John Loy, Tony Geiss, Judy Freudberg",Charles Grosvenor,Michael Tavera,5.5,2240.0,/zREv4ST6lZUcxWIy2LPJKB011Gj.jpg
10092,Cry_Wolf,5.8,583.0,Released,2005-09-16,10047674.0,90.0,1000000.0,tt0384286,en,Cry_Wolf,"After a local woman is murdered, a group of teenage liars create a warning e-mail of a serial killer named “The Wolf”, coming on the next full moon. The teens describe each death method The Wolf uses, but when the described victims actually do start turning up dead, suddenly no one knows where the lies end and the truth begins.",1.469,Nobody believes a liar...even when they're telling the truth.,"Horror, Thriller","Universal Pictures, Rogue Films",United States of America,English,"Shannon Cusack, Jane Beard, Ranel Johnson, Jesse Janzen, Lindy Booth, Jared Padalecki, Jon Bon Jovi, Jarvis W. George, Sandra McCoy, Kristy Wu, Anna Deavere Smith, Paul James, Julian Morris, Sabrina Gilbert, Shauna Sauls, Steven Ritzi, Michael Kennedy, Ethan Cohn, Ashleigh Pixley, Debra Gordon, Erica Yates, Gary Cole",Jeff Wadlow,Romeo Tirone,"Jeff Wadlow, Beau Bauman","Dave Bartis, Gene Klein, Seth Gordon, Beau Bauman, Steven Butensky",Michael Wandmacher,5.8,29764.0,/7OQ2McKYgnyfIHHkm0jBxQnu7ou.jpg
296192,Comedy Central Roast of Charlie Sheen,7.2,94.0,Released,2011-09-19,0.0,78.0,0.0,tt1985970,en,Comedy Central Roast of Charlie Sheen,It's Charlie Sheen's turn to step in to the celebrity hot seat for the latest installment of The Comedy Central Roast.,1.6868,All aboard the crazy train,"Comedy, Documentary, TV Movie",Comedy Central,United States of America,English,"William Shatner, Seth MacFarlane, Slash, Charlie Sheen, Anthony Jeselnik, Jeff Ross, Jon Lovitz, Kate Walsh, Patrice O'Neal, Steve-O, Mike Tyson, Amy Schumer",Joel Gallen,,"Ray James, Michael Ferrucci",,,7.6,5722.0,/d96F0rtaKNEgK5yP2GwEBghkJ9X.jpg
